Date,Rot,VH,Team,1st,2nd,Final,Open,Close,ML,2H
1115,730,H,Stanford,32,38,70,17,17,-2150,7.5
1115,731,V,MiddleTennSt,34,34,68,NL,NL,195,NL
1115,732,H,Ohio,38,43,81,5.5,5,-235,1.5
1115,733,V,SacramentoState,29,29,58,NL,NL,560,NL
1115,734,H,SouthAlabama,21,49,70,15,12.5,-820,10
1115,735,V,HoustonBaptist,18,28,46,NL,NL,1950,NL
1115,736,H,Rice,35,25,60,21.5,22,-3900,8.5
1115,737,V,Samford,30,22,52,NL,NL,230,NL
1115,738,H,UAB,23,32,55,6,6,-270,5
1115,739,V,WiscGreenBay,45,33,87,NL,NL,290,NL
1115,740,H,KentState,36,42,86,5.5,7.5,-350,7
1115,741,V,BoiseState,32,43,75,13.5,15.5,-1600,9.5
1115,742,H,NorthDakota,32,28,60,NL,NL,1050,NL
1115,743,V,LoyolaMarymount,27,36,63,NL,NL,325,NL
1115,744,H,Montana,28,36,64,8,7.5,-400,5
1115,745,V,WinstonSalemState,42,37,79,NL,NL,525,NL
1115,746,H,UCDavis,41,58,99,11,12,-750,7.5
1115,747,V,ColoradoState,27,28,55,NL,NL,1150,NL
1115,748,H,Oregon,36,32,68,14,17,-1800,8
1115,749,V,Belmont,27,46,73,NL,NL,245,NL
1115,750,H,WrightState,45,37,82,6.5,6.5,-290,0
1115,751,V,PortlandState,29,26,55,NL,NL,1420,NL
1115,752,H,WashingtonU,55,56,111,17.5,18,-2600,5.5
1115,753,V,LoyolaMaryland,31,29,60,NL,NL,3000,NL
1115,754,H,WestVirginia,31,52,83,24,25.5,-7000,14
1115,755,V,AustinPeay,32,48,80,NL,NL,675,NL
1115,756,H,Akron,44,33,77,12.5,12.5,-1050,3.5
1115,757,V,NorthernArizona,31,39,70,NL,NL,1150,NL
1115,758,H,Arizona,51,36,87,16.5,16,-1800,5.5
1115,759,V,Fordham,30,25,55,NL,NL,625,NL
1115,760,H,Fairfield,30,33,63,13,12.5,-950,7
1115,761,V,IdahoState,31,38,69,NL,NL,650,NL
1115,762,H,Bradley,32,42,74,12,13.5,-1000,7
1115,763,V,IPFW,18,28,46,NL,NL,1750,NL
1115,764,H,Wisconsin,39,36,75,24,21,-3500,7
1115,765,V,TexSanAntonio,28,34,62,NL,NL,313,NL
1115,766,H,Iowa,26,24,50,9,8,-375,6
1116,507,V,MiamiOhio,39,31,70,136,132.5,1300,72.5
1116,508,H,Kentucky,36,36,72,19.5,17.5,-2200,11
1116,509,V,Virginia,27,22,49,124,124,175,67.5
1116,510,H,SouthFlorida,31,35,66,3.5,5,-210,2
1116,511,V,TexasA&M,36,44,80,7,5,-220,0.5
1116,512,H,SMU,26,42,68,139.5,137.5,180,73.5
1116,513,V,Pennsylvania,25,40,65,145.5,146.5,2173,77
1116,514,H,Villanova,55,48,103,22,23,-5000,7.5
1116,515,V,Auburn,31,31,62,4,3.5,-170,3
1116,516,H,MissouriSt,36,37,73,131,130.5,150,71.5
1116,517,V,SanDiego,21,34,55,120,121.5,135,64
1116,518,H,Pacific,22,34,56,2,3,-155,2
1116,519,V,CSFullerton,33,24,68,142,135.5,NL,73
1116,520,H,UCLA,27,30,65,17,15,NL,10
1116,521,V,SanDiegoState,21,37,58,133,133,250,1.5
1116,522,H,SaintMarysCA,42,38,80,5,8,-300,71
1116,523,V,Elon,22,39,61,NL,NL,630,NL
1116,524,H,CharlotteU,34,41,75,11.5,12.5,-860,4
1116,525,V,CoastalCarolina,19,30,49,146.5,144.5,NL,72
1116,526,H,Duke,33,41,74,28.5,26.5,NL,11.5
1116,527,V,Yale,24,39,63,137.5,138.5,330,73
1116,528,H,Hofstra,30,38,68,6.5,9,-420,4
1116,529,V,Colgate,32,31,63,136,132,NL,70.5
1116,530,H,Connecticut,33,44,77,27.5,26.5,NL,14
1116,531,V,WiscMilwaukee,31,34,65,141,143.5,235,74.5
1116,532,H,WesternKentucky,30,39,69,8.5,6.5,-275,4
1116,533,V,IndianaState,19,26,45,134,134,600,67.5
1116,534,H,LSU,24,32,56,10.5,12,-800,5.5
1116,535,V,CSNorthridge,25,40,65,142,141.5,125,4
1116,536,H,TCU,48,35,83,1,2.5,-145,76
1116,537,V,TexasState,26,36,62,144,146.5,NL,77
1116,538,H,ArizonaState,39,45,84,24,24.5,NL,11
1116,539,V,GeorgiaSouthern,36,30,66,162,159.5,1700,84
1116,540,H,SouthCarolina,43,47,90,18,22,-3200,11
1116,541,V,EWashington,25,36,61,127.5,128.5,1300,68
1116,542,H,WashingtonState,30,37,67,18,17.5,-2200,8.5
1116,543,V,SCUpstate,25,36,61,NL,NL,NL,NL
1116,544,H,IndianaU,32,37,69,14,17,NL,7.5
1117,717,V,ArkansasLR,20,25,45,120.5,125.5,1250,66
1117,718,H,Tulsa,25,34,59,16.5,17,-2000,10
1117,719,V,Temple,13,32,45,125.5,129,400,65
1117,720,H,Georgetown,19,27,46,8.5,10,-500,4
1117,721,V,MiddleTennSt,29,31,60,NL,NL,440,NL
1117,722,H,Marshall,30,33,63,9.5,10.5,-580,5.5
1117,723,V,BowlingGreen,28,29,57,NL,NL,1350,NL
1117,724,H,Xavier,51,50,101,16,17.5,-2300,5.5
1117,725,V,StJohns,36,33,69,6.5,5.5,-235,3
1117,726,H,StBonaventure,34,34,68,NL,NL,195,NL
1117,727,V,Louisville,48,48,96,10.5,8.5,-440,1
1117,728,H,Arkansas,31,35,66,145,144,350,76
1117,729,V,IowaState,51,39,90,NL,3,-155,NL
1117,730,H,Drake,32,38,70,0,NL,135,3
1117,731,V,NorthernIllinois,41,20,61,NL,NL,1500,NL
1117,732,H,Illinois,49,31,80,21,20,-3000,9.5
1117,733,V,ULMonroe,24,37,61,NL,NL,1750,NL
1117,734,H,Oklahoma,27,45,72,21.5,24.5,-3500,12.5
1117,735,V,Columbia,25,28,53,NL,NL,520,NL
1117,736,H,Depaul,31,28,59,10.5,12.5,-740,6
1117,737,V,Gonzaga,35,36,71,142.5,145.5,575,77.5
1117,738,H,MichiganState,30,45,75,10.5,11.5,-850,8
1117,739,V,Duquesne,33,19,52,2,1.5,-125,69.5
1117,740,H,Iowa,25,25,50,134,131.5,105,1.5
1117,741,V,NewMexico,52,45,97,3.5,3,-155,NL
1117,742,H,NewMexicoState,36,51,87,NL,NL,135,3
1117,743,V,MemphisU,20,35,55,140,144.5,475,NL
1117,744,H,Kansas,26,31,57,10,10.5,-650,NL
1117,745,V,LongBeachState,29,38,67,3,3.5,-170,NL
1117,746,H,Pepperdine,31,27,58,NL,NL,150,NL
1117,747,V,CalRiverside,25,42,67,122.5,116,415,NL
1117,748,H,USC,38,39,77,10,10,-525,NL
1117,749,V,CharlotteU,27,32,59,145,145,1400,77.5
1117,750,H,Duke,57,44,101,17.5,17,-2500,4.5
1117,751,N,CoastalCarolina,36,33,69,1,3.5,-160,NL
1117,752,N,Elon,25,21,46,NL,NL,140,1
1117,753,N,Colgate,30,25,55,NL,2,-130,0.5
1117,754,N,Yale,28,37,65,2,NL,110,NL
1117,755,V,Hofstra,23,44,67,NL,NL,1420,NL
1117,756,H,Connecticut,30,46,76,16.5,19,-2600,9
1117,757,N,IndianaState,38,38,76,NL,NL,105,NL
1117,758,N,WiscMilwaukee,36,27,63,1.5,1.5,-125,1
1117,759,V,WesternKentucky,30,30,60,NL,NL,235,NL
1117,760,H,LSU,29,42,71,5.5,6,-275,4.5
1117,761,N,TexasState,51,31,82,NL,NL,185,NL
1117,762,N,CSNorthridge,46,39,85,6.5,5.5,-225,4
1117,763,V,TCU,23,26,49,126.5,126.5,575,66
1117,764,H,ArizonaState,24,28,52,12.5,12.5,-850,7
1117,765,V,NorthernColorado,32,49,81,NL,NL,200,NL
1117,766,H,Hawaii,30,45,75,5.5,5.5,-240,3.5
1117,767,V,Drexel,30,39,69,NL,NL,425,NL
1117,768,H,Niagara,42,34,76,9.5,9.5,-550,3
1117,769,V,Northeastern,26,27,53,133,139,360,70
1117,770,H,Siena,20,39,59,8.5,8.5,-450,8
1117,771,V,NCGreensboro,26,20,46,NL,NL,1500,NL
1117,772,H,VirginiaTech,26,33,59,20,20,-3000,11
1117,773,V,Wofford,29,31,60,NL,NL,175,NL
1117,774,H,Georgia,26,31,57,3,5,-210,4
1117,775,V,TennMartin,33,35,68,NL,NL,2500,NL
1117,776,H,Missouri,50,33,83,24,25,-5000,10.5
1117,777,V,Fairfield,22,20,42,NL,NL,1420,NL
1117,778,H,Maryland,30,41,71,19.5,18.5,-2600,8.5
1117,779,V,Canisius,35,34,69,3,2.5,-150,3
1117,780,H,LoyolaChicago,46,43,89,NL,NL,130,NL
1117,781,V,FresnoState,36,29,65,NL,NL,105,NL
1117,782,H,NorthernArizona,35,24,59,4,0,-125,0
1117,783,V,UAB,37,50,87,5.5,5.5,-230,3.5
1117,784,H,JacksonvilleSt,37,25,62,NL,NL,190,NL
1117,785,V,IdahoState,24,29,53,NL,NL,1250,NL
